START_TIME,PROBLEM_DESCRIPTION,END_TIME,ACKNOWLEDGE_MESSAGE,DURATION,HOSTNAME,Severity_Description
29-09-2023 12:35,Space Utilization > 80%,29-09-2023 13:14,,0d 0h 39m 0s,Zabbix-Server-Active,Not Classified
29-09-2023 12:35,/: Disk space is low,29-09-2023 13:14,,0d 0h 39m 0s,Zabbix-Server-Active,Information
29-09-2023 12:28,/: Disk space is low,29-09-2023 13:00,,0d 0h 32m 0s,Linux Server,Information
29-09-2023 12:28,/: Disk space is low,29-09-2023 13:00,,0d 0h 32m 0s,Linux Server,Information
29-09-2023 12:28,/: Disk space is low,29-09-2023 13:00,,0d 0h 32m 0s,Linux Server,Information
29-09-2023 12:28,/: Disk space is low,29-09-2023 13:00,,0d 0h 32m 0s,Linux Server,Information
29-09-2023 12:15,Unavailable by ICMP ping,-,,,AP_3_Kerala_EK,Average
29-09-2023 12:15,Unavailable by ICMP ping,-,,,AP_4_Mumbai_BN,Average
29-09-2023 12:15,Unavailable by ICMP ping,-,,,AP_5_Kerala_EK,Average
29-09-2023 11:57,Azure: There are errors in requests to API,29-09-2023 12:01,,0d 0h 4m 55s,Azure virtual machine Ubuntu20.04,Warning
29-09-2023 11:49,Azure: There are errors in requests to API,29-09-2023 11:56,,0d 0h 6m 59s,Azure virtual machine Ubuntu20.04,Warning
29-09-2023 11:47,Azure: There are errors in requests to API,29-09-2023 11:47,,0d 0h 0m 55s,Azure virtual machine Ubuntu20.04,Warning
29-09-2023 11:44,Azure: There are errors in requests to API,29-09-2023 11:44,,0d 0h 0m 49s,Azure virtual machine Ubuntu20.04,Warning
29-09-2023 11:19,Azure: There are errors in requests to API,29-09-2023 11:20,,0d 0h 0m 56s,Azure virtual machine Ubuntu20.04,Warning
29-09-2023 11:01,Azure: There are errors in requests to API,29-09-2023 11:01,,0d 0h 0m 49s,Azure virtual machine Ubuntu20.04,Warning
29-09-2023 10:18,Azure: There are errors in requests to API,29-09-2023 10:21,,0d 0h 3m 7s,Azure virtual machine Ubuntu20.04,Warning
29-09-2023 09:55,Forecast CPU Utilization High,29-09-2023 10:00,,0d 0h 5m 0s,Calculated and Aggregate items,Warning
29-09-2023 09:52,Zabbix agent is not available,-,,,AICIN,High
29-09-2023 09:43,Zabbix proxy: More than 100 items having missing data for more than 10 minutes,30-09-2023 14:35,,1d 4h 52m 0s,Zabbixproxy,Information
29-09-2023 09:43,Zabbix server: More than 100 items having missing data for more than 10 minutes,30-09-2023 14:35,,1d 4h 52m 0s,Zabbix-Server-Active,Information
29-09-2023 09:43,Zabbix proxy: More than 100 items having missing data for more than 10 minutes,30-09-2023 14:35,,1d 4h 52m 0s,Zabbixproxy2,Information
29-09-2023 09:42,Port 36771 is down for sometime,-,,,Zabbix-Server-Active,High
29-09-2023 09:34,Forecast CPU Utilization High,29-09-2023 09:37,,0d 0h 3m 0s,Calculated and Aggregate items,Warning
29-09-2023 09:28,Forecast Memory Utilization High,29-09-2023 09:33,,0d 0h 5m 0s,Calculated and Aggregate items,Warning
29-09-2023 09:22,Zabbix proxy: has been restarted,29-09-2023 09:32,,0d 0h 10m 0s,Zabbixproxy,Not Classified
